,开发银行,进出口银行,农业发展银行,中国银行,中国建设银行,中国工商银行,中国农业银行,兴业银行,广发银行,交通银行
开发银行,0.0,0.0016801695449424608,0.003191325190518026,0.01320999767836556,0.005111806282071985,0.008794658100690411,0.009401605228504015,0.0035635697675757577,0.0005708069660369698,0.004994248416552228
进出口银行,0.0003818547473324813,0.0,0.00025424083112424975,0.001052390649149704,0.00040723831014199534,0.0007006372122830258,0.0007489903988157836,0.00028389615140744854,4.5474036268047585e-05,0.0003978729187604658
农业发展银行,0.0001388164890240503,4.865978764645975e-05,0.0,0.00038257786767674544,0.00014804423096716708,0.000254704173689488,0.00027228211303551383,0.00010320538702510443,1.6531275571615065e-05,0.00014463960981474745
中国银行,0.0052845188420963625,0.0018523992825202023,0.003518459497732825,0.0,0.005635804028108774,0.009696175248961148,0.010365338922040414,0.00392886188214659,0.0006293188788757783,0.005506195616625004
中国建设银行,0.0054850353071339945,0.0019226869599924333,0.0036519643790558698,0.015116742446723484,0.0,0.010064088174130284,0.010758642679992395,0.004077939124516042,0.0006531978356444438,0.0057151234138080225
中国工商银行,0.006210794625632247,0.002177089693910058,0.004135178621173187,0.017116933162319842,0.006623653432752067,0.0,0.012182185964981265,0.004617516748754263,0.0007396265256157303,0.006471327128402889
中国农业银行,0.005484711328857273,0.0019225733948514455,0.0036517486726729705,0.01511584956347054,0.00584930418904995,0.010063493730200417,0.0,0.00407769825757241,0.0006531592539585837,0.005714785845181535
兴业银行,0.003498442850418499,0.0012263203556830058,0.0023292810267372317,0.009641699017976017,0.0037309997177861123,0.006419035675663578,0.006862033598046848,0.0,0.00041661997964661715,0.0036451967082675335
广发银行,0.0007774611338769567,0.00027252593653535043,0.0005176375735131931,0.002142680778712525,0.0008291423913749515,0.0014265062967088488,0.0015249540009496189,0.0005780161836887143,0.0,0.0008100743351217564
交通银行,0.002804540391343022,0.000983084508534336,0.0018672772435005074,0.007729305720644081,0.002990970513458252,0.005145845050382006,0.005500976067158886,0.002085081380108581,0.00033398503583377775,0.0
